timestamp,station,PM2.5,PM10,NO2,SO2,CO,AQI
2026-05-29T23:00:00Z,Peenya,70.44,126.62,31.55,7.67,1.27,149
2026-05-29T23:00:00Z,Silk Board,91.05,162.53,25.28,6.78,1.18,169
2026-05-29T23:00:00Z,Whitefield,73.44,97.27,20.35,6.21,1.07,143
2026-05-30T00:00:00Z,BTM Layout,45.2,71.81,37.19,7.72,1.11,111
2026-05-30T00:00:00Z,Hebbal,42.0,96.42,20.63,12.41,1.2,110
2026-05-30T00:00:00Z,Peenya,79.72,121.4,20.92,7.43,0.82,141
2026-05-30T00:00:00Z,Silk Board,75.88,139.45,24.65,8.41,1.13,156
2026-05-30T00:00:00Z,Whitefield,59.32,110.97,21.21,10.27,1.02,126
2026-05-30T01:00:00Z,BTM Layout,39.0,79.23,22.39,6.29,0.75,113
2026-05-30T01:00:00Z,Hebbal,62.83,86.41,39.22,12.14,1.16,110
2026-05-30T01:00:00Z,Peenya,89.46,135.11,31.04,8.53,1.14,152
2026-05-30T01:00:00Z,Silk Board,68.77,154.07,23.62,10.89,0.73,163
2026-05-30T01:00:00Z,Whitefield,76.26,132.2,33.92,6.45,1.28,141
2026-05-30T02:00:00Z,BTM Layout,43.49,53.49,12.99,7.78,0.84,79
2026-05-30T02:00:00Z,Hebbal,54.58,64.58,14.34,6.06,0.64,92
2026-05-30T02:00:00Z,Peenya,57.91,82.77,14.85,11.67,0.56,104
2026-05-30T02:00:00Z,Silk Board,56.02,115.36,25.44,8.15,0.66,117
2026-05-30T02:00:00Z,Whitefield,58.77,93.87,22.32,10.82,0.63,99
2026-05-30T03:00:00Z,BTM Layout,38.75,50.75,23.89,11.39,0.86,65
2026-05-30T03:00:00Z,Hebbal,50.09,65.65,14.86,13.27,0.85,85
2026-05-30T03:00:00Z,Peenya,50.95,76.02,18.56,8.51,0.77,126
2026-05-30T03:00:00Z,Silk Board,74.97,110.79,21.92,7.13,0.83,130
2026-05-30T03:00:00Z,Whitefield,44.51,84.56,31.5,12.0,0.81,87
2026-05-30T04:00:00Z,BTM Layout,27.24,82.29,31.39,13.65,0.56,78
2026-05-30T04:00:00Z,Hebbal,34.25,58.53,21.79,12.39,0.68,78
2026-05-30T04:00:00Z,Peenya,41.64,119.21,15.15,11.62,0.71,124
2026-05-30T04:00:00Z,Silk Board,64.38,105.46,26.15,8.86,0.45,131
2026-05-30T04:00:00Z,Whitefield,41.54,64.46,13.15,13.56,0.99,110
2026-05-30T05:00:00Z,BTM Layout,42.44,90.89,29.5,9.24,0.68,86
2026-05-30T05:00:00Z,Hebbal,41.73,63.4,27.29,6.52,0.99,84
2026-05-30T05:00:00Z,Peenya,54.58,85.73,30.31,6.83,0.65,101
2026-05-30T05:00:00Z,Silk Board,71.28,83.1,16.03,11.35,0.86,121
2026-05-30T05:00:00Z,Whitefield,60.16,70.16,12.54,7.54,0.65,103
