timestamp,junction_name,latitude,longitude,congestion_level,avg_speed_kmph
2026-05-29T11:00:00Z,Silk Board,12.917,77.623,92,22.03
2026-05-29T11:00:00Z,Whitefield,12.969,77.75,72,26.98
2026-05-29T12:00:00Z,Hebbal,13.035,77.597,27,38.55
2026-05-29T12:00:00Z,Koramangala,12.935,77.624,30,38.05
2026-05-29T12:00:00Z,Marathahalli,12.959,77.697,35,37.47
2026-05-29T12:00:00Z,Silk Board,12.917,77.623,39,36.53
2026-05-29T12:00:00Z,Whitefield,12.969,77.75,29,39.68
2026-05-29T13:00:00Z,Hebbal,13.035,77.597,25,41.87
2026-05-29T13:00:00Z,Koramangala,12.935,77.624,28,38.77
2026-05-29T13:00:00Z,Marathahalli,12.959,77.697,36,37.64
2026-05-29T13:00:00Z,Silk Board,12.917,77.623,29,38.72
2026-05-29T13:00:00Z,Whitefield,12.969,77.75,43,32.76
2026-05-29T14:00:00Z,Hebbal,13.035,77.597,28,40.63
2026-05-29T14:00:00Z,Koramangala,12.935,77.624,20,41.9
2026-05-29T14:00:00Z,Marathahalli,12.959,77.697,33,36.25
2026-05-29T14:00:00Z,Silk Board,12.917,77.623,51,29.61
2026-05-29T14:00:00Z,Whitefield,12.969,77.75,34,36.62
2026-05-29T15:00:00Z,Hebbal,13.035,77.597,27,37.76
2026-05-29T15:00:00Z,Koramangala,12.935,77.624,30,36.89
2026-05-29T15:00:00Z,Marathahalli,12.959,77.697,28,38.33
2026-05-29T15:00:00Z,Silk Board,12.917,77.623,41,34.55
2026-05-29T15:00:00Z,Whitefield,12.969,77.75,35,36.92
2026-05-29T16:00:00Z,Hebbal,13.035,77.597,25,38.58
2026-05-29T16:00:00Z,Koramangala,12.935,77.624,21,42.71
2026-05-29T16:00:00Z,Marathahalli,12.959,77.697,30,39.13
2026-05-29T16:00:00Z,Silk Board,12.917,77.623,40,36.13
2026-05-29T16:00:00Z,Whitefield,12.969,77.75,41,33.13
2026-05-29T17:00:00Z,Hebbal,13.035,77.597,59,30.88
2026-05-29T17:00:00Z,Koramangala,12.935,77.624,56,31.67
2026-05-29T17:00:00Z,Marathahalli,12.959,77.697,64,27.1
2026-05-29T17:00:00Z,Silk Board,12.917,77.623,88,25.06
2026-05-29T17:00:00Z,Whitefield,12.969,77.75,83,24.23
2026-05-29T18:00:00Z,Hebbal,13.035,77.597,55,29.13
2026-05-29T18:00:00Z,Koramangala,12.935,77.624,47,33.01
2026-05-29T18:00:00Z,Marathahalli,12.959,77.697,73,24.92
2026-05-29T18:00:00Z,Silk Board,12.917,77.623,88,22.95
2026-05-29T18:00:00Z,Whitefield,12.969,77.75,69,26.4
2026-05-29T19:00:00Z,Hebbal,13.035,77.597,61,27.15
2026-05-29T19:00:00Z,Koramangala,12.935,77.624,55,30.85
2026-05-29T19:00:00Z,Marathahalli,12.959,77.697,54,28.41
2026-05-29T19:00:00Z,Silk Board,12.917,77.623,91,22.14
2026-05-29T19:00:00Z,Whitefield,12.969,77.75,80,23.6
2026-05-29T20:00:00Z,Hebbal,13.035,77.597,57,31.02
2026-05-29T20:00:00Z,Koramangala,12.935,77.624,63,29.02
2026-05-29T20:00:00Z,Marathahalli,12.959,77.697,63,28.63
2026-05-29T20:00:00Z,Silk Board,12.917,77.623,79,26.74
2026-05-29T20:00:00Z,Whitefield,12.969,77.75,68,27.37
2026-05-29T21:00:00Z,Hebbal,13.035,77.597,21,40.27
2026-05-29T21:00:00Z,Koramangala,12.935,77.624,27,40.2
2026-05-29T21:00:00Z,Marathahalli,12.959,77.697,32,36.77
2026-05-29T21:00:00Z,Silk Board,12.917,77.623,49,29.71
2026-05-29T21:00:00Z,Whitefield,12.969,77.75,34,38.36
2026-05-29T22:00:00Z,Hebbal,13.035,77.597,26,41.13
2026-05-29T22:00:00Z,Koramangala,12.935,77.624,24,41.26
2026-05-29T22:00:00Z,Marathahalli,12.959,77.697,22,40.92
2026-05-29T22:00:00Z,Silk Board,12.917,77.623,39,34.05
2026-05-29T22:00:00Z,Whitefield,12.969,77.75,31,36.32
2026-05-29T23:00:00Z,Hebbal,13.035,77.597,4,52.0
2026-05-29T23:00:00Z,Koramangala,12.935,77.624,3,52.77
2026-05-29T23:00:00Z,Marathahalli,12.959,77.697,8,50.66
2026-05-29T23:00:00Z,Silk Board,12.917,77.623,8,49.92
2026-05-29T23:00:00Z,Whitefield,12.969,77.75,9,46.58
2026-05-30T00:00:00Z,Hebbal,13.035,77.597,4,50.59
2026-05-30T00:00:00Z,Koramangala,12.935,77.624,1,53.98
2026-05-30T00:00:00Z,Marathahalli,12.959,77.697,6,52.08
2026-05-30T00:00:00Z,Silk Board,12.917,77.623,7,50.24
2026-05-30T00:00:00Z,Whitefield,12.969,77.75,11,48.98
2026-05-30T01:00:00Z,Hebbal,13.035,77.597,8,50.48
2026-05-30T01:00:00Z,Koramangala,12.935,77.624,2,54.91
2026-05-30T01:00:00Z,Marathahalli,12.959,77.697,6,51.88
2026-05-30T01:00:00Z,Silk Board,12.917,77.623,7,50.56
2026-05-30T01:00:00Z,Whitefield,12.969,77.75,1,53.92
2026-05-30T02:00:00Z,Hebbal,13.035,77.597,6,51.35
2026-05-30T02:00:00Z,Koramangala,12.935,77.624,8,51.05
2026-05-30T02:00:00Z,Marathahalli,12.959,77.697,5,49.48
2026-05-30T02:00:00Z,Silk Board,12.917,77.623,7,51.36
2026-05-30T02:00:00Z,Whitefield,12.969,77.75,5,51.2
2026-05-30T03:00:00Z,Hebbal,13.035,77.597,7,50.31
2026-05-30T03:00:00Z,Koramangala,12.935,77.624,9,46.51
2026-05-30T03:00:00Z,Marathahalli,12.959,77.697,11,46.86
2026-05-30T03:00:00Z,Silk Board,12.917,77.623,0,55.0
2026-05-30T03:00:00Z,Whitefield,12.969,77.75,4,53.76
2026-05-30T04:00:00Z,Hebbal,13.035,77.597,4,50.01
2026-05-30T04:00:00Z,Koramangala,12.935,77.624,8,49.32
2026-05-30T04:00:00Z,Marathahalli,12.959,77.697,7,50.83
2026-05-30T04:00:00Z,Silk Board,12.917,77.623,5,49.49
2026-05-30T04:00:00Z,Whitefield,12.969,77.75,5,51.78
2026-05-30T05:00:00Z,Hebbal,13.035,77.597,8,50.22
2026-05-30T05:00:00Z,Koramangala,12.935,77.624,1,52.23
2026-05-30T05:00:00Z,Marathahalli,12.959,77.697,3,54.34
2026-05-30T05:00:00Z,Silk Board,12.917,77.623,4,53.57
2026-05-30T05:00:00Z,Whitefield,12.969,77.75,5,49.8
